Image,Class
0.jpeg,5
1.jpeg,2
2.jpeg,9
3.jpeg,2
4.jpeg,5
5.jpeg,1
6.jpeg,3
7.jpeg,3
8.jpeg,2
9.jpeg,1
10.jpeg,7
11.jpeg,3
12.jpeg,0
13.jpeg,6
14.jpeg,5
15.jpeg,5
16.jpeg,2
17.jpeg,8
18.jpeg,1
19.jpeg,4
20.jpeg,9
21.jpeg,4
22.jpeg,2
23.jpeg,7
24.jpeg,3
25.jpeg,4
26.jpeg,3
27.jpeg,0
28.jpeg,2
29.jpeg,3
30.jpeg,0
31.jpeg,3
32.jpeg,2
33.jpeg,3
34.jpeg,1
35.jpeg,0
36.jpeg,3
37.jpeg,4
38.jpeg,5
39.jpeg,2
40.jpeg,3
41.jpeg,3
42.jpeg,6
43.jpeg,2
44.jpeg,1
45.jpeg,2
46.jpeg,2
47.jpeg,4
48.jpeg,3
49.jpeg,2
50.jpeg,2
51.jpeg,0
52.jpeg,3
53.jpeg,5
54.jpeg,4
55.jpeg,3
56.jpeg,4
57.jpeg,6
58.jpeg,0
59.jpeg,2
60.jpeg,3
61.jpeg,1
62.jpeg,6
63.jpeg,0
64.jpeg,4
65.jpeg,1
66.jpeg,4
67.jpeg,3
68.jpeg,4
69.jpeg,9
70.jpeg,1
71.jpeg,7
72.jpeg,2
73.jpeg,7
74.jpeg,7
75.jpeg,4
76.jpeg,7
77.jpeg,9
78.jpeg,2
79.jpeg,4
80.jpeg,1
81.jpeg,4
82.jpeg,0
83.jpeg,2
84.jpeg,2
85.jpeg,3
86.jpeg,3
87.jpeg,4
88.jpeg,8
89.jpeg,8
90.jpeg,7
91.jpeg,2
92.jpeg,3
93.jpeg,8
94.jpeg,0
95.jpeg,3
96.jpeg,1
97.jpeg,2
98.jpeg,4
99.jpeg,3
100.jpeg,8
101.jpeg,0
102.jpeg,2
103.jpeg,4
104.jpeg,3
105.jpeg,5
106.jpeg,3
107.jpeg,0
108.jpeg,2
109.jpeg,3
110.jpeg,0
111.jpeg,6
112.jpeg,0
113.jpeg,4
114.jpeg,3
115.jpeg,0
116.jpeg,5
117.jpeg,2
118.jpeg,3
119.jpeg,0
120.jpeg,1
121.jpeg,4
122.jpeg,0
123.jpeg,1
124.jpeg,4
125.jpeg,0
126.jpeg,3
127.jpeg,0
128.jpeg,8
129.jpeg,2
130.jpeg,8
131.jpeg,3
132.jpeg,7
133.jpeg,2
134.jpeg,8
135.jpeg,0
136.jpeg,0
137.jpeg,7
138.jpeg,4
139.jpeg,2
140.jpeg,2
141.jpeg,0
142.jpeg,2
143.jpeg,4
144.jpeg,2
145.jpeg,8
146.jpeg,3
147.jpeg,0
148.jpeg,8
149.jpeg,5
150.jpeg,8
151.jpeg,3
152.jpeg,2
153.jpeg,1
154.jpeg,8
155.jpeg,5
156.jpeg,1
157.jpeg,4
158.jpeg,0
159.jpeg,4
160.jpeg,5
161.jpeg,1
162.jpeg,8
163.jpeg,0
164.jpeg,6
165.jpeg,8
166.jpeg,6
167.jpeg,3
168.jpeg,2
169.jpeg,3
170.jpeg,2
171.jpeg,6
172.jpeg,0
173.jpeg,1
174.jpeg,0
175.jpeg,4
176.jpeg,1
177.jpeg,4
178.jpeg,8
179.jpeg,2
180.jpeg,1
181.jpeg,0
182.jpeg,9
183.jpeg,0
184.jpeg,3
185.jpeg,0
186.jpeg,0
187.jpeg,0
188.jpeg,2
189.jpeg,2
190.jpeg,7
