Image,Class_NoTTA,Class_TTA,Changed
0.jpeg,5,5,0
1.jpeg,2,2,0
10.jpeg,7,7,0
100.jpeg,8,8,0
1000.jpeg,0,0,0
1001.jpeg,0,0,0
1002.jpeg,1,1,0
1003.jpeg,0,0,0
1004.jpeg,7,7,0
1005.jpeg,1,1,0
1006.jpeg,3,3,0
1007.jpeg,2,2,0
1008.jpeg,0,0,0
1009.jpeg,4,4,0
101.jpeg,0,0,0
1010.jpeg,7,7,0
1011.jpeg,2,2,0
1012.jpeg,0,0,0
1013.jpeg,2,2,0
1014.jpeg,4,4,0
1015.jpeg,1,1,0
1016.jpeg,3,3,0
1017.jpeg,9,9,0
1018.jpeg,0,**8**,1
1019.jpeg,4,4,0
102.jpeg,2,2,0
1020.jpeg,4,4,0
1021.jpeg,4,4,0
1022.jpeg,2,2,0
1023.jpeg,0,0,0
1024.jpeg,5,5,0
1025.jpeg,5,5,0
1026.jpeg,2,2,0
1027.jpeg,1,1,0
1028.jpeg,9,9,0
1029.jpeg,4,4,0
103.jpeg,5,5,0
1030.jpeg,2,2,0
1031.jpeg,2,2,0
1032.jpeg,1,1,0
1033.jpeg,6,6,0
1034.jpeg,3,3,0
1035.jpeg,4,4,0
1036.jpeg,0,0,0
1037.jpeg,0,0,0
1038.jpeg,3,3,0
1039.jpeg,2,2,0
104.jpeg,3,3,0
1040.jpeg,7,7,0
1041.jpeg,9,9,0
1042.jpeg,2,2,0
1043.jpeg,3,3,0
1044.jpeg,3,3,0
1045.jpeg,8,8,0
1046.jpeg,0,0,0
1047.jpeg,2,2,0
1048.jpeg,0,0,0
1049.jpeg,4,4,0
105.jpeg,3,3,0
1050.jpeg,1,1,0
1051.jpeg,6,6,0
1052.jpeg,3,3,0
1053.jpeg,2,2,0
1054.jpeg,8,8,0
1055.jpeg,4,4,0
1056.jpeg,4,4,0
1057.jpeg,0,0,0
1058.jpeg,3,3,0
1059.jpeg,4,**1**,1
106.jpeg,3,3,0
1060.jpeg,4,4,0
1061.jpeg,3,3,0
1062.jpeg,2,2,0
1063.jpeg,2,2,0
1064.jpeg,5,5,0
1065.jpeg,2,2,0
1066.jpeg,8,8,0
1067.jpeg,3,3,0
1068.jpeg,6,6,0
1069.jpeg,2,2,0
107.jpeg,0,0,0
1070.jpeg,0,0,0
1071.jpeg,2,2,0
1072.jpeg,7,7,0
1073.jpeg,3,3,0
1074.jpeg,5,5,0
1075.jpeg,4,4,0
1076.jpeg,2,2,0
1077.jpeg,4,4,0
1078.jpeg,0,0,0
1079.jpeg,1,1,0
108.jpeg,2,2,0
1080.jpeg,1,1,0
1081.jpeg,2,2,0
1082.jpeg,4,4,0
1083.jpeg,1,1,0
